wpn_psd9_fire_npc,,weapons/h1/psd9/fire.wav,0.8,1,max,1,1,35,13780,weapon,,,,0.7,all_mp,,,,weapon4

pkpsd9_pout,,weapons/h1/psd9/h1_wpn_pkpsd9_pout.wav,1,1,wpnplyr,1,1,7,500,reload2d,,,,0.85,,,,,weapon2,
pkpsd9_pout_1st_01,,weapons/h1/psd9/h1_wpn_pkpsd9_pout_1st_01.wav,1,1,wpnplyr,1,1,7,500,reload2d,,,,0.85,,,,,weapon2,
pkpsd9_pout_1st_02,,weapons/h1/psd9/h1_wpn_pkpsd9_pout_1st_02.wav,1,1,wpnplyr,1,1,7,500,reload2d,,,,0.85,,,,,weapon2,
pkpsd9_rel_01,,weapons/h1/psd9/h1_wpn_pkpsd9_rel_01.wav,1,1,wpnplyr,1,1,7,500,reload2d,,,,0.85,,,,,weapon2,
pkpsd9_rel_02,,weapons/h1/psd9/h1_wpn_pkpsd9_rel_02.wav,1,1,wpnplyr,1,1,7,500,reload2d,,,,0.85,,,,,weapon2,
pkpsd9_rel_03,,weapons/h1/psd9/h1_wpn_pkpsd9_rel_03.wav,1,1,wpnplyr,1,1,7,500,reload2d,,,,0.85,,,,,weapon2,
pkpsd9_rel_empty_01,,weapons/h1/psd9/h1_wpn_pkpsd9_rel_empty_01.wav,1,1,wpnplyr,1,1,7,500,reload2d,,,,0.85,,,,,weapon2,
pkpsd9_rel_empty_02,,weapons/h1/psd9/h1_wpn_pkpsd9_rel_empty_02.wav,1,1,wpnplyr,1,1,7,500,reload2d,,,,0.85,,,,,weapon2,
pkpsd9_rel_empty_03,,weapons/h1/psd9/h1_wpn_pkpsd9_rel_empty_03.wav,1,1,wpnplyr,1,1,7,500,reload2d,,,,0.85,,,,,weapon2,

# ATLAS 45
wpn_atlas45_fire_plr,,weapons/s1/atlas45/fire.wav,0.9,1,max,1,1,5000,,local,,,,0.85,,,,,weapon2,,,,
wpn_atlas45_fire_npc,,weapons/s1/atlas45/fire.wav,0.8,1,max,1,1,35,13780,weapon,,,,0.7,all_mp,,,,weapon4

wpn_titan45_charge,,weapons/s1/atlas45/wpn_titan45_charge.wav,1,1,wpnplyr,1,1,7,500,reload2d,,,,0.85,,,,,weapon2,
wpn_titan45_foley_start,,weapons/s1/atlas45/wpn_titan45_foley_start.wav,1,1,wpnplyr,1,1,7,500,reload2d,,,,0.85,,,,,weapon2,
wpn_titan45_magin,,weapons/s1/atlas45/wpn_titan45_magin.wav,1,1,wpnplyr,1,1,7,500,reload2d,,,,0.85,,,,,weapon2,
wpn_titan45_magout,,weapons/s1/atlas45/wpn_titan45_magout.wav,1,1,wpnplyr,1,1,7,500,reload2d,,,,0.85,,,,,weapon2,
wpn_titan45_settle,,weapons/s1/atlas45/wpn_titan45_settle.wav,1,1,wpnplyr,1,1,7,500,reload2d,,,,0.85,,,,,weapon2,
wpn_titan45_tac_foley_start,,weapons/s1/atlas45/wpn_titan45_tac_foley_start.wav,1,1,wpnplyr,1,1,7,500,reload2d,,,,0.85,,,,,weapon2,
wpn_titan45_tac_magin,,weapons/s1/atlas45/wpn_titan45_tac_magin.wav,1,1,wpnplyr,1,1,7,500,reload2d,,,,0.85,,,,,weapon2,
wpn_titan45_tac_magout,,weapons/s1/atlas45/wpn_titan45_tac_magout.wav,1,1,wpnplyr,1,1,7,500,reload2d,,,,0.85,,,,,weapon2,
wpn_titan45_tac_pre_magin,,weapons/s1/atlas45/wpn_titan45_tac_pre_magin.wav,1,1,wpnplyr,1,1,7,500,reload2d,,,,0.85,,,,,weapon2,
wpn_titan45_tac_settle,,weapons/s1/atlas45/wpn_titan45_tac_settle.wav,1,1,wpnplyr,1,1,7,500,reload2d,,,,0.85,,,,,weapon2,

# Lynx
weap_lynx_fire_plr,,weapons/iw6/lynx/bf3_m82/m82_fire_plr.wav,0.9,1,max,1,1,5000,,local,,,,0.85,,,,,weapon2,,,,
weap_lynx_fire_npc,,weapons/iw6/lynx/bf3_m82/m82_fire_npc.wav,0.8,1,wpnai,1,1,35,13780,weapon,,,,0.7,all_mp,,,,weapon4

lynx_clipout,,weapons/iw6/lynx/bf3_m82/m82_clipout.wav,1,1,wpnplyr,1,1,7,500,reload2d,,,,0.85,,,,,weapon2,
lynx_clipin,,weapons/iw6/lynx/bf3_m82/m82_clipin.wav,1,1,wpnplyr,1,1,7,500,reload2d,,,,0.85,,,,,weapon2,
hk416_chamber,,weapons/iw6/lynx/bf3_m416/an94_chamber.wav,1,1,wpnplyr,1,1,7,500,reload2d,,,,0.85,,,,,weapon2,

# 1911
wpn_m1911_fire_plr,,weapons/t5/m1911/fire.wav,1,1,wpnplyr,1,1,500000,,local,,,,0.85,,,,,weapon2
wpn_m1911_fire_npc,,weapons/t5/m1911/fire.wav,0.7,0.8,wpnai,1,1,35,2000,weapon,,,,0.8,all_mp,,,,weapon4

fly_colt45_futz,,weapons/t5/m1911/fly_colt45_futz.wav,1,1,,1,1,7,500,reload,,,,0.7,all_mp,,,,weapon2,50
fly_colt45_mag_in,,weapons/t5/m1911/fly_colt45_mag_in.wav,1,1,,1,1,7,500,reload,,,,0.7,all_mp,,,,weapon2,50
fly_colt45_mag_out,,weapons/t5/m1911/fly_colt45_mag_out.wav,1,1,,1,1,7,500,reload,,,,0.7,all_mp,,,,weapon2,50
fly_colt45_slide_back,,weapons/t5/m1911/fly_colt45_slide_back.wav,1,1,,1,1,7,500,reload,,,,0.7,all_mp,,,,weapon2,50
fly_colt45_slide_forward,,weapons/t5/m1911/fly_colt45_slide_forward.wav,1,1,,1,1,7,500,reload,,,,0.7,all_mp,,,,weapon2,50
fly_gear_reload_plr,,weapons/t5/m1911/fly_gear_reload_plr.wav,1,1,,1,1,7,500,reload,,,,0.7,all_mp,,,,weapon2,50

# Kam12
wpn_kam12_fire_plr,,weapons/h1/kam12/fire.wav,0.9,1,max,1,1,5000,,local,,,,0.85,,,,,weapon2,,,,
wpn_kam12_fire_npc,,weapons/h1/kam12/fire.wav,0.8,1,max,1,1,35,13780,weapon,,,,0.7,all_mp,,,,weapon4

kam12_reload_1_plr,,weapons/h1/kam12/kam12_reload_1.wav,1,1,wpnplyr,1,1,7,500,reload2d,,,,0.85,,,,,weapon2,
kam12_reload_2_plr,,weapons/h1/kam12/kam12_reload_2.wav,1,1,wpnplyr,1,1,7,500,reload2d,,,,0.85,,,,,weapon2,
kam12_reload_3_plr,,weapons/h1/kam12/kam12_reload_3.wav,1,1,wpnplyr,1,1,7,500,reload2d,,,,0.85,,,,,weapon2,
kam12_reload_4_plr,,weapons/h1/kam12/kam12_reload_4.wav,1,1,wpnplyr,1,1,7,500,reload2d,,,,0.85,,,,,weapon2,
weap_ak47_chamber_plr,,weapons/h1/kam12/weap_ak47_chamber_plr.wav,1,1,wpnplyr,1,1,7,500,reload2d,,,,0.85,,,,,weapon2,

# M1927
wpn_thompson_fire_plr,,weapons/t7/m1927/fire.wav,0.9,1,max,1,1,5000,,local,,,,0.85,,,,,weapon2,,,,
wpn_thompson_fire_npc,,weapons/t7/m1927/fire.wav,0.8,1,max,1,1,35,13780,weapon,,,,0.7,all_mp,,,,weapon4

fly_tommy_bolt_back,,weapons/t7/m1927/fly_tommy_bolt_back.wav,1,1,wpnplyr,1,1,7,500,reload2d,,,,0.85,,,,,weapon2,
fly_tommy_bolt_release,,weapons/t7/m1927/fly_tommy_bolt_release.wav,1,1,wpnplyr,1,1,7,500,reload2d,,,,0.85,,,,,weapon2,
fly_tommy_mag_out,,weapons/t7/m1927/fly_tommy_mag_out.wav,1,1,wpnplyr,1,1,7,500,reload2d,,,,0.85,,,,,weapon2,
fly_tommy_mag_in,,weapons/t7/m1927/fly_tommy_mag_in.wav,1,1,wpnplyr,1,1,7,500,reload2d,,,,0.85,,,,,weapon2,

## END,,,,,,,,,,,,,,,,,,,

